time,lon,lat,speed,heading,xcourse,ycourse,zcourse,ruddercommand,rudder,delta_t,dist,delta,psi,thrust,-rudder,x0,y0
41.5,119.16159100000002,26.067232,0.8100000000000003,19.0,0.8919999999999998,-0.257,22.763,60.0,24.0,0.6029999256134033,1.5876555057572202e-09,-0.4188790204786391,6.614797865058509,0.0,-24.0,2.003102003596723,-11.469362602976616
42.0,119.16159,26.067237,0.9,24.0,0.84,-0.18,25.43,60.0,24.0,0.6130001544952393,0.5629096987074766,-0.4188790204786391,6.702064327658225,0.0,-24.0,2.560550774913281,-11.553173366060946
43.0,119.16158999999998,26.06723699999999,0.9000000000000002,24.0,0.93,-0.2181249999999999,29.161874999999995,60.0,24.0,0.9168121814727784,2.930265019624371e-09,-0.4188790204786391,6.702064327658225,0.0,-24.0,2.560550774913281,-11.553173366060946
44.0,119.161591,26.067242,0.88,32.0,0.94,-0.24,32.89,60.0,23.0,0.9261877536773682,0.5629096995435419,-0.4014257279586958,6.841690667817772,0.0,-23.0,3.112093099858612,-11.43666396313347
44.5,119.16159100000002,26.067242,0.8800000000000001,32.0,0.883,-0.273,35.623000000000005,60.0,23.0,0.6022999286651611,1.421947342748467e-09,-0.4014257279586958,6.841690667817772,0.0,-23.0,3.112093099858612,-11.436663960688747
45.0,119.161591,26.067248,0.92,38.0,0.89,-0.23,38.12,60.0,23.0,0.6037001609802246,0.6647341423903916,-0.4014257279586958,6.946410422937431,0.0,-23.0,3.7774877599440515,-11.417044771136716
45.5,119.16159100000002,26.067248,0.9200000000000002,38.0,0.929,-0.24,40.57,60.0,23.0,0.5978999137878418,1.4219472702996971e-09,-0.4014257279586958,6.946410422937431,0.0,-23.0,3.7774877599440515,-11.417044768575579
46.0,119.161592,26.067254,0.89,42.0,0.94,-0.25,43.14,60.0,25.0,0.601099967956543,0.672222888895697,-0.4363323129985824,7.016223593017204,0.0,-25.0,4.43992919428274,-11.297265511762816
47.0,119.161592,26.067254,0.89,42.0,0.9200000000000002,-0.173,45.42700000000001,60.0,25.0,0.6001996994018555,0.0,-0.4363323129985824,7.016223593017204,0.0,-25.0,4.43992919428274,-11.297265511762816
47.5,119.161593,26.067258,0.83,47.0,0.96,-0.22,47.54,60.0,20.0,0.5998003482818604,0.4543120690523046,-0.3490658503988659,7.103490055616922,0.0,-20.0,4.88057240890339,-11.184025988273788
48.0,119.161593,26.067258,0.8299999999999998,47.0,0.903,-0.18,50.197,60.0,20.0,0.6004002094268799,1.58765522495699e-09,-0.3490658503988659,7.103490055616922,0.0,-20.0,4.88057240890339,-11.184025988273788
48.5,119.161593,26.06726,0.89,52.0,0.9,-0.25,52.62,60.0,21.0,0.5985996723175049,0.2215780479598332,-0.3665191429188092,7.190756518216638,0.0,-21.0,5.1023706290870905,-11.177486258558929
49.0,119.161593,26.06726,0.89,52.0,0.933,-0.251,54.974,60.0,21.0,0.6029000282287598,1.4651322403681187e-09,-0.3665191429188092,7.190756518216638,0.0,-21.0,5.1023706290870905,-11.177486258558929
50.0,119.161597,26.067266,0.86,57.0,0.89,-0.34,57.61,60.0,24.0,0.6040999889373779,0.7759288363016779,-0.4188790204786391,7.278022980816354,0.0,-24.0,5.755952397827059,-10.757226851244923
50.5,119.161597,26.067266,0.86,57.0,0.9264285714285714,-0.2242857142857142,60.56214285714286,60.0,24.0,0.8165712356567383,1.4219470529532932e-09,-0.4188790204786391,7.278022980816354,0.0,-24.0,5.755952397827059,-10.757226851244923
51.5,119.161599,26.06727,0.76,63.0,0.98,-0.17,63.4,60.0,21.0,0.8154289722442627,0.4862466878740069,-0.3665191429188092,7.382742735936014,0.0,-21.0,6.1936423946172,-10.54382730089128
52.5,119.161599,26.067270000000004,0.7599999999999999,63.0,0.8963157894736843,-0.231578947368421,68.18315789473685,60.0,21.0,1.0950524806976318,3.5277407227143775e-10,-0.3665191429188092,7.382742735936014,0.0,-21.0,6.193642395082861,-10.543827300833073
53.5,119.161607,26.067278,0.89,71.0,0.88,-0.1,72.54,60.0,20.0,1.088947296142578,1.194288699671909,-0.3490658503988659,7.52236907609556,0.0,-20.0,7.057209533173591,-9.716388065426145
54.5,119.161607,26.06727799999999,0.8900000000000002,71.0,0.9035714285714284,-0.2,75.99571428571429,60.0,20.0,0.8212859630584717,1.4131673697448787e-09,-0.3490658503988659,7.52236907609556,0.0,-20.0,7.057209531310946,-9.716388065484352
55.5,119.161613,26.067283,0.91,78.0,0.88,-0.1,79.18,60.0,25.0,0.8217141628265381,0.8168792851605957,-0.4363323129985824,7.644542123735163,0.0,-25.0,7.593985803890973,-9.099078558152542
56.0,119.16161300000002,26.067283,0.91,78.0,0.9133333333333332,-0.1344444444444444,81.63111111111111,60.0,25.0,0.5427777767181396,1.421946847681561e-09,-0.4363323129985824,7.644542123735163,0.0,-25.0,7.593985803890973,-9.099078558152542
56.5,119.161617,26.067285,0.88,83.0,0.925,-0.24499999999999994,84.46,60.0,24.0,0.38277781009674067,0.22874158620075696,-0.4188790204786391,7.73180858633488,0.0,-24.0,7.8039711862802505,-8.691898714925628
57.0,119.161619,26.067286,0.92,85.0,0.91,-0.1,86.02,60.0,22.0,0.2156665325164795,0.2287415821672646,-0.3839724354387525,7.766715171374766,0.0,-22.0,7.908963882364333,-8.488308796251658
57.50000000000001,119.161619,26.067286000000006,0.92,85.0,0.9735714285714286,-0.1314285714285714,89.29714285714286,60.0,22.0,0.8207859992980957,1.4651319357789102e-09,-0.3839724354387525,7.766715171374766,0.0,-22.0,7.908963882364333,-8.488308796251658
58.50000000000001,119.161624,26.067289,0.86,92.0,0.91,-0.11,93.17,60.0,20.0,0.820214033126831,0.6006421688691644,-0.3490658503988659,7.888888219014369,0.0,-20.0,8.226895187050104,-7.977699099981692
59.50000000000001,119.16162400000005,26.067289,0.86,92.0,0.9192857142857144,-0.1742857142857143,96.4492857142857,60.0,20.0,0.8185713291168213,2.8438935504653702e-09,-0.3490658503988659,7.888888219014369,0.0,-20.0,8.226895187050104,-7.9776990948594175
60.00000000000001,119.16163,26.067291,0.87,99.0,0.92,-0.2,99.66,60.0,22.0,0.8194286823272705,0.6399479190924373,-0.3839724354387525,8.011061266653972,0.0,-22.0,8.43097420455888,-7.370199235447217
60.50000000000001,119.16163000000005,26.067291000000004,0.87,99.0,0.91,-0.1644444444444444,102.51222222222222,60.0,22.0,0.5445556640625,2.93026375440806e-09,-0.3839724354387525,8.011061266653972,0.0,-22.0,8.430974205490202,-7.37019923038315
61.00000000000001,119.161637,26.067292,0.86,104.0,0.9,-0.23,105.18,60.0,23.0,0.5594444274902344,0.7091320957232229,-0.4014257279586958,8.09832772925369,0.0,-23.0,8.521200947929174,-6.665809199679643
61.50000000000001,119.161637,26.067292,0.8600000000000001,104.0,0.9114285714285716,-0.1642857142857142,106.78,60.0,23.0,0.4248571395874023,1.4651318654890534e-09,-0.4014257279586958,8.09832772925369,0.0,-23.0,8.521200947929174,-6.665809199679643
62.00000000000001,119.161642,26.067292,0.83,108.0,0.91,-0.05,109.07,60.0,24.0,0.4391427040100097,0.5003030302945359,-0.4188790204786391,8.168140899333462,0.0,-24.0,8.506434998475015,-6.165009059186559
63.00000000000001,119.161642,26.067292000000005,0.83,108.0,0.9093333333333332,-0.1673333333333333,112.61933333333332,60.0,24.0,0.8711338043212891,1.773144726420699e-09,-0.4188790204786391,8.168140899333462,0.0,-24.0,8.506434999406338,-6.165009059244767
64.0,119.161648,26.067293,0.84,116.0,0.88,-0.24,116.84,60.0,20.0,0.877866268157959,0.6105003687671257,-0.3490658503988659,8.307767239493009,0.0,-20.0,8.599614989478141,-5.560779071063735
64.5,119.161648,26.067293,0.8400000000000001,116.0,0.883,-0.175,119.168,60.0,20.0,0.5974998474121094,1.4219467269334251e-09,-0.3490658503988659,8.307767239493009,0.0,-20.0,8.599614989478141,-5.560779071063735
65.0,119.16165,26.067293,0.86,121.0,0.92,-0.02,121.71,60.0,22.0,0.6005001068115234,0.2001212118403789,-0.3839724354387525,8.395033702092725,0.0,-22.0,8.593708624131978,-5.3604590177419595
65.5,119.16164999999998,26.067293,0.8600000000000001,121.0,0.917,-0.27,124.42,60.0,22.0,0.5987999439239502,1.4219467269334251e-09,-0.3839724354387525,8.395033702092725,0.0,-22.0,8.593708624597639,-5.360459020186681
66.0,119.161661,26.067292,0.82,126.0,0.92,-0.06,127.31,60.0,20.0,0.6012001037597656,1.1062284204142676,-0.3490658503988659,8.482300164692441,0.0,-20.0,8.450324564240873,-4.261968541191891
66.5,119.161662,26.067292,0.84,127.5,0.9133333333333333,-0.05833333333333334,128.595,60.0,21.5,0.21700000762939448,0.1000606067698791,-0.3752457891787808,8.508480103472357,0.0,-21.5,8.447371392510831,-4.16180851572426
67.5,119.161663,26.067292,0.8600000000000001,129.0,0.906,-0.267,131.74499999999998,60.0,23.0,0.6044001579284668,3.5277407227143786e-10,-0.4014257279586958,8.534660042252272,0.0,-23.0,8.444418219383806,-4.061648487811908
68.0,119.161668,26.06729,0.85,133.0,0.88,-0.05,134.5,60.0,24.0,0.5975997447967529,0.5471745235838081,-0.4188790204786391,8.604473212332044,0.0,-24.0,8.207854162435979,-3.567387965566013
69.0,119.16166799999998,26.06729000000001,0.8499999999999998,133.0,0.9476470588235296,-0.1570588235294117,138.97823529411764,60.0,24.0,0.9844117164611816,2.8657301414635704e-09,-0.4188790204786391,8.604473212332044,0.0,-24.0,8.207854162435979,-3.5673879680107348
70.0,119.161677,26.067287,0.81,143.0,0.96,-0.06,143.75,60.0,22.0,0.985588312149048,0.9599218934022458,-0.3839724354387525,8.779006137531479,0.0,-22.0,7.848578373435885,-2.6757571081398055
70.5,119.16167700000004,26.067287,0.8100000000000003,143.0,0.948,-0.242,146.223,60.0,22.0,0.597100019454956,2.843893598764624e-09,-0.3839724354387525,8.779006137531479,0.0,-22.0,7.848578373435885,-2.6757571055786684
71.0,119.16168,26.067285,0.87,148.0,0.89,-0.23,148.86,60.0,20.0,0.5989000797271729,0.3731031549422493,-0.3490658503988659,8.866272600131193,0.0,-20.0,7.617920689750463,-2.381816607026849
71.5,119.16168000000002,26.067285,0.87,148.0,0.9071428571428573,-0.2757142857142857,151.08999999999995,60.0,20.0,0.4381427764892578,1.421946823531937e-09,-0.3490658503988659,8.866272600131193,0.0,-20.0,7.61792068881914,-2.381816607026849
72.0,119.161684,26.067283,0.84,152.0,0.88,-0.2,153.12,60.0,22.0,0.4388570785522461,0.4574831688610862,-0.3839724354387525,8.936085770210967,0.0,-22.0,7.384309858083725,-1.9877160640899092
73.5,119.16168400000002,26.067282999999986,0.84,152.0,0.8915384615384613,-0.1326923076923076,160.14499999999998,60.0,22.0,1.47326922416687,3.767890023012326e-09,-0.3839724354387525,8.936085770210967,0.0,-22.0,7.3843098557554185,-1.9877160590840504
75.0,119.161693,26.067275,0.86,166.0,0.905,-0.17666666666666664,167.98666666666665,60.0,21.0,0.9279488325119019,0.6317696565591835,-0.3665191429188092,9.180431865490174,0.0,-21.0,6.470538679510355,-1.1124340276001021
75.5,119.161695,26.067272,0.87,170.0,0.94,-0.15,170.47,60.0,22.0,0.3828332424163818,0.3879644093339996,-0.3839724354387525,9.250245035569947,0.0,-22.0,6.131935081444681,-0.9219232884352095
76.0,119.16169499999998,26.067272,0.8699999999999999,170.0,0.93,-0.176,173.551,60.0,22.0,0.5996003150939941,1.4651320997885186e-09,-0.3839724354387525,9.250245035569947,0.0,-22.0,6.131935081910342,-0.9219232909963466
77.0,119.161698,26.067268,0.83,176.0,0.89,-0.18,176.76,60.0,21.0,0.6003997325897217,0.5352536630648566,-0.3665191429188092,9.354964790689607,0.0,-21.0,5.6794792432338,-0.6345222702948377
78.0,119.16169799999994,26.06726800000001,0.83,176.0,0.9255555555555556,-0.2038888888888888,181.36944444444447,60.0,21.0,1.037722110748291,5.731461337325204e-09,-0.3665191429188092,9.354964790689607,0.0,-21.0,5.679479243699461,-0.6345222780946642
79.0,119.161702,26.067261,0.84,185.0,0.94,-0.08,186.02,60.0,25.0,1.0372776985168457,0.8727143081314009,-0.4363323129985824,9.512044423369096,0.0,-25.0,4.8913729707710445,-0.2567704982939176
79.5,119.16170200000003,26.06726099999999,0.84,185.0,0.9415384615384615,-0.233076923076923,190.1138461538461,60.0,25.0,0.7660770416259766,3.0347724892393677e-09,-0.4363323129985824,9.512044423369096,0.0,-25.0,4.891372969839722,-0.2567704957909882
80.5,119.161704,26.067255,0.8,193.0,0.94,-0.18,193.96,60.0,20.0,0.7689230442047119,0.6942045820736239,-0.3490658503988659,9.651670763528642,0.0,-20.0,4.220072089228779,-0.07606901793042198
81.5,119.161706,26.067251,0.87,199.0,0.91,-0.13,199.4,60.0,22.0,1.194000005722046,0.4862466981298565,-0.3839724354387525,9.756390518648303,0.0,-22.0,3.7705694139003754,0.11117202072637156
82.0,119.161706,26.067251,0.87,199.0,0.9257142857142856,-0.1528571428571428,201.89285714285717,60.0,22.0,0.4385714530944824,0.0,-0.3839724354387525,9.756390518648303,0.0,-22.0,3.7705694139003754,0.11117202072637156
82.5,119.161706,26.067247,0.86,203.0,0.96,-0.37,203.72,60.0,25.0,0.4364285469055176,0.44315609500885,-0.4363323129985824,9.826203688728075,0.0,-25.0,3.3269730117172003,0.0980929532670416
83.0,119.161706,26.0672465,0.85,204.5,0.8875,-0.26499999999999996,206.03,60.0,23.0,0.27250003814697266,0.05539451178187205,-0.4014257279586958,9.85238362750799,0.0,-23.0,3.271523461677134,0.09645806811749935
83.5,119.161706,26.067246000000004,0.8400000000000001,206.0,0.93,-0.1519999999999999,209.513,60.0,21.0,0.6017999649047852,1.4219472944492887e-09,-0.3665191429188092,9.878563566287905,0.0,-21.0,3.216073911637068,0.09482318547088653
84.0,119.161705,26.06724,0.85,212.0,0.97,-0.19,212.42,60.0,19.0,0.5992000102996826,0.6722228893536485,-0.33161255787892263,9.983283321407566,0.0,-19.0,2.5536324437707663,-0.02495548070874065
85.0,119.161705,26.067240000000005,0.8499999999999999,212.0,0.904,-0.191,215.176,60.0,19.0,0.6024997234344482,1.4219473668980534e-09,-0.33161255787892263,9.983283321407566,0.0,-19.0,2.5536324437707663,-0.02495548070874065
85.5,119.161705,26.067237,0.88,217.0,0.91,-0.17,218.37,60.0,22.0,0.6015002727508545,0.3323670716252897,-0.3839724354387525,10.070549784007282,0.0,-22.0,2.220935140736401,-0.034764781477861106
86.0,119.161705,26.067237,0.8800000000000001,217.0,0.927,-0.147,221.024,60.0,22.0,0.598599910736084,1.42194740312243e-09,-0.3839724354387525,10.070549784007282,0.0,-22.0,2.220935140736401,-0.034764781477861106
86.5,119.161703,26.067231,0.84,223.0,0.94,-0.12,223.45,60.0,21.0,0.5994000434875488,0.6942045936624065,-0.3665191429188092,10.17526953912694,0.0,-21.0,1.561446808744222,-0.25470352900447324
87.5,119.161703,26.067231,0.84,223.0,0.9214285714285716,-0.1514285714285714,227.6685714285714,60.0,21.0,0.8214287757873535,3.5277407227143786e-10,-0.3665191429188092,10.17526953912694,0.0,-21.0,1.561446808744222,-0.25470352900447324
88.5,119.1617,26.067224,0.87,231.0,0.9,-0.04,231.89,60.0,20.0,0.8195712566375732,0.8315920882394098,-0.3490658503988659,10.314895879286487,0.0,-20.0,0.7940125139430165,-0.578072146163322
