time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
157.0,119.16186550378617,26.067325007572343,1.1402217106144694,38.36139962250919,0.8448652557334215,-0.34669085498035573,38.62063758197521,10.0,-31.43629296600641,0.5486668168783457,0.6695327290860953,0.0,31.43629296600641,78.0416289945133,-12.366394024982583
157.5,119.16186731123068,26.067327311230656,1.1532894828139466,37.1139054374954,0.853714084648745,0.27803113489348447,36.954566717668605,10.0,-31.781451511122288,0.5546909699320112,0.6477598481581212,0.0,31.781451511122288,78.29176518693566,-12.177828286541626
158.0,119.16186710694633,26.067327106946323,1.1668696756738695,35.29670542675474,0.8271955360711549,0.35881135325918206,35.401616935241776,10.0,-31.964295083336093,0.5578821922832502,0.6160437248034205,0.0,31.964295083336093,78.26971349492669,-12.198957340035122
158.5,119.16186931140592,26.06732931140591,1.1756288746825239,34.03030484112598,0.8141817244854034,0.0820077847239039,33.172489155589716,10.0,-31.921617599448513,0.557137329672945,0.5939408649350142,0.0,31.921617599448513,78.50767624983564,-11.970950924849603
159.0,119.16187154868176,26.067332097363522,1.194976545723637,32.11069070218717,0.8192231046450724,0.4407464599055011,30.989360766229954,10.0,-31.668288555500833,0.5527159037651286,0.5604372778426961,0.0,31.668288555500833,78.81002970039845,-11.737756360089406
159.5,119.1618735159831,26.067334515983084,1.2216029813125409,29.372637063647954,0.7747646208959889,0.6237304204908714,28.768243625229285,10.0,-31.75328094479345,0.5541993007974215,0.512649226753976,0.0,31.75328094479345,79.072442938108,-11.532803502108436
160.0,119.16187554392688,26.067336600623786,1.2527914048817732,26.190034221094113,0.8361413751373205,0.3610608798246493,25.684764018143863,10.0,-32.14438865041541,0.5610254179904454,0.4571023283680808,0.0,32.14438865041541,79.29763914830983,-11.322868698043749
160.5,119.16187831629388,26.067340632587864,1.266709175550632,22.971794945421642,0.7955290297997457,0.5604748912586013,22.99079410593064,10.0,-32.433673602266566,0.5660743928767213,0.4009334568905987,0.0,32.433673602266566,79.73659345833585,-11.032005464890972
161.0,119.16187969205491,26.06734338410987,1.2747994844180504,20.25470600641571,0.7605729701961865,0.7612611373954963,19.943291306692192,10.0,-32.4,0.5654866776461628,0.3535113088354259,0.0,32.4,80.03767210384831,-10.885212826076895
161.5,119.16188076748634,26.067344209357845,1.2852247143034856,16.98500630289745,0.8090657251793649,0.6172470608983881,16.246259683314435,10.0,-32.44789193276161,0.5663225495579965,0.2964442834575498,0.0,32.44789193276161,80.12601559329778,-10.774799394304864
162.0,119.16188341180589,26.067347617708812,1.2864118058847578,14.358073492959145,0.7730357865490286,0.7461989157971265,13.116926875540866,10.0,-32.54355358492444,0.5679921603561355,0.2505956566954599,0.0,32.54355358492444,80.4961899118498,-10.49880040687276
162.5,119.16188514890992,26.067350312683963,1.286282544602607,11.801889179855333,0.7300355224394881,0.8872624909496893,9.835584127906667,10.0,-32.265245642877375,0.5631347704329647,0.20598182414396882,0.0,32.265245642877375,80.7899305196479,-10.316000571998302
163.0,119.16188736390924,26.067353363909262,1.2832238353873522,6.5622735791762405,0.7596641839608906,0.6321874843930473,5.814576743295722,10.0,-32.15049939209787,0.5611320705525432,0.1145332803732582,0.0,32.15049939209787,81.1217677174136,-10.084169969079085
163.5,119.16188751879854,26.06735365537053,1.2787569304511437,2.60674250555203,0.7382224815116598,0.7831901182656587,40.44962882864748,10.0,-32.03926826953684,0.5591907212331638,0.04549623947356949,0.0,32.03926826953684,81.15363311767578,-10.067703293869272
164.0,119.16188953271876,26.067357221936795,1.27812538629946,-0.3452407184174416,0.7638167968711453,0.9915080834575087,301.8387085562912,10.0,-31.8750228030605,0.5563240970616778,-0.006025587248334982,0.0,31.8750228030605,81.5432149474509,-9.854327806038782
